proposal_uid,image_id,fold,relative_path,category_id,x0,y0,x1,y1,detector_score,source_prediction_index
y5-f0-i1-p000000,1,0,images/train/01-PAN-20240418-318-232-L00000010061-CCD14_3_crop1.jpg,2,78.56,120.03,181.3,341.79,0.586914,0
y5-f0-i1-p000001,1,0,images/train/01-PAN-20240418-318-232-L00000010061-CCD14_3_crop1.jpg,3,298.49,40.99,451.52,267.17,0.009857,1
y5-f0-i1-p000002,1,0,images/train/01-PAN-20240418-318-232-L00000010061-CCD14_3_crop1.jpg,2,298.49,40.99,451.52,267.17,0.007175,2
y5-f0-i1-p000003,1,0,images/train/01-PAN-20240418-318-232-L00000010061-CCD14_3_crop1.jpg,2,78.3,121.92,180.78,341.37,0.001188,3
y5-f0-i2-p000004,2,0,images/train/01-PAN-20240418-318-232-L00000010061-CCD18_5_crop1.jpg,3,267.89,295.77,719.6,567.58,0.871582,4
y5-f0-i4-p000005,4,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg,3,92.34,262.12,241.82,394.78,0.615234,5
y5-f0-i4-p000006,4,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg,3,0.0,36.64,62.97,131.59,0.111267,6
y5-f0-i4-p000007,4,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg,2,0.0,36.64,62.97,131.59,0.014503,7
y5-f0-i4-p000008,4,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg,2,92.34,262.12,241.82,394.78,0.00639,8
y5-f0-i4-p000009,4,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg,3,252.08,472.53,380.89,610.53,0.00528,9
y5-f0-i4-p000010,4,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg,3,0.0,35.41,62.59,179.23,0.003765,10
y5-f0-i4-p000011,4,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg,3,570.37,722.05,611.39,762.63,0.003338,11
y5-f0-i4-p000012,4,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg,2,252.08,472.53,380.89,610.53,0.00326,12
y5-f0-i4-p000013,4,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg,3,0.0,0.0,31.19,35.59,0.002306,13
y5-f0-i4-p000014,4,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg,2,68.25,408.23,142.59,487.49,0.00172,14
y5-f0-i4-p000015,4,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg,3,0.0,0.03,87.32,122.3,0.001661,15
y5-f0-i4-p000016,4,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg,3,615.23,818.6,649.84,874.15,0.001629,16
y5-f0-i4-p000017,4,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg,2,0.0,0.01,59.6,61.68,0.001427,17
y5-f0-i4-p000018,4,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg,3,616.52,820.74,649.41,869.45,0.00133,18
y5-f0-i4-p000019,4,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg,2,0.0,0.68,37.6,63.23,0.0013,19
y5-f0-i4-p000020,4,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg,2,0.0,0.16,69.48,27.4,0.001121,20
y5-f0-i4-p000021,4,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg,3,0.0,0.0,54.74,19.07,0.001069,21
y5-f0-i4-p000022,4,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg,2,0.0,0.0,82.78,16.2,0.001069,22
y5-f0-i4-p000023,4,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg,2,0.0,0.13,76.1,63.34,0.001032,23
y5-f0-i4-p000024,4,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop1.jpg,3,0.0,0.0,33.11,20.44,0.001024,24
y5-f0-i5-p000025,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,428.38,583.49,534.47,746.25,0.85791,25
y5-f0-i5-p000026,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,164.46,577.87,365.29,711.28,0.774414,26
y5-f0-i5-p000027,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,511.96,773.17,636.14,823.0,0.011917,27
y5-f0-i5-p000028,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,505.13,783.22,624.08,823.0,0.007374,28
y5-f0-i5-p000029,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,501.11,774.38,608.41,823.0,0.006878,29
y5-f0-i5-p000030,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,512.37,781.61,641.36,823.0,0.004025,30
y5-f0-i5-p000031,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,472.98,790.05,612.03,823.0,0.003525,31
y5-f0-i5-p000032,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,369.71,777.99,581.89,823.0,0.003429,32
y5-f0-i5-p000033,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,339.77,777.59,574.25,823.0,0.003325,33
y5-f0-i5-p000034,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,493.88,773.97,653.02,823.0,0.002663,34
y5-f0-i5-p000035,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,433.6,790.05,574.25,823.0,0.002531,35
y5-f0-i5-p000036,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,703.25,1.16,745.44,91.47,0.002472,36
y5-f0-i5-p000037,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,412.71,776.79,601.18,823.0,0.002342,37
y5-f0-i5-p000038,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,463.74,774.78,625.69,823.0,0.002314,38
y5-f0-i5-p000039,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,505.53,776.79,696.82,823.0,0.002296,39
y5-f0-i5-p000040,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,495.89,761.52,652.61,823.0,0.002287,40
y5-f0-i5-p000041,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,157.03,573.45,365.69,708.47,0.002234,41
y5-f0-i5-p000042,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,534.47,325.1,665.87,501.52,0.002115,42
y5-f0-i5-p000043,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,445.66,775.58,583.9,823.0,0.00209,43
y5-f0-i5-p000044,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,576.26,387.59,659.44,494.28,0.001957,44
y5-f0-i5-p000045,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,427.98,775.98,577.06,823.0,0.001926,45
y5-f0-i5-p000046,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,476.6,774.78,602.78,823.0,0.001889,46
y5-f0-i5-p000047,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,2,164.46,577.87,365.29,711.28,0.001796,47
y5-f0-i5-p000048,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,504.73,758.3,696.82,823.0,0.001597,48
y5-f0-i5-p000049,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,465.35,762.32,622.47,823.0,0.001561,49
y5-f0-i5-p000050,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,448.47,790.85,584.7,823.0,0.001444,50
y5-f0-i5-p000051,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,500.31,323.9,667.88,504.73,0.001444,51
y5-f0-i5-p000052,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,530.05,790.05,612.43,823.0,0.001346,52
y5-f0-i5-p000053,5,0,images/train/01-PAN-20240420-113-325-L00000010882-CCD3_5_crop4.jpg,3,560.59,315.26,666.68,499.91,0.001335,53
