gt_class,pred_class,count,direction
A6_TU-160,A12_TU-22,222,A6_TU-160->A12_TU-22
A1_SU-35,A19_SU-34,140,A1_SU-35->A19_SU-34
A14_KC-135,A11_E-8,128,A14_KC-135->A11_E-8
A19_SU-34,A1_SU-35,126,A19_SU-34->A1_SU-35
QHS,MS,110,QHS->MS
A6_TU-160,A7_E-3,104,A6_TU-160->A7_E-3
A15_F-22,A5_F-16,96,A15_F-22->A5_F-16
MS,QHS,84,MS->QHS
A11_E-8,A14_KC-135,84,A11_E-8->A14_KC-135
A15_F-22,A13_F-15,84,A15_F-22->A13_F-15
A6_TU-160,A16_FA-18,74,A6_TU-160->A16_FA-18
A5_F-16,A15_F-22,56,A5_F-16->A15_F-22
A13_F-15,A5_F-16,52,A13_F-15->A5_F-16
A5_F-16,A13_F-15,40,A5_F-16->A13_F-15
A20_SU-24,A19_SU-34,36,A20_SU-24->A19_SU-34
A12_TU-22,A20_SU-24,36,A12_TU-22->A20_SU-24
A6_TU-160,A10_B-1B,36,A6_TU-160->A10_B-1B
A13_F-15,A15_F-22,32,A13_F-15->A15_F-22
A12_TU-22,A6_TU-160,32,A12_TU-22->A6_TU-160
A19_SU-34,A13_F-15,28,A19_SU-34->A13_F-15
A4_C-5,A7_E-3,24,A4_C-5->A7_E-3
A13_F-15,A19_SU-34,22,A13_F-15->A19_SU-34
A5_F-16,A16_FA-18,20,A5_F-16->A16_FA-18
A6_TU-160,A17_TU-95,20,A6_TU-160->A17_TU-95
A11_E-8,A7_E-3,20,A11_E-8->A7_E-3
A3_C-17,A4_C-5,20,A3_C-17->A4_C-5
A4_C-5,A3_C-17,18,A4_C-5->A3_C-17
A20_SU-24,A12_TU-22,18,A20_SU-24->A12_TU-22
A4_C-5,A11_E-8,16,A4_C-5->A11_E-8
A16_FA-18,A1_SU-35,16,A16_FA-18->A1_SU-35
A13_F-15,A16_FA-18,16,A13_F-15->A16_FA-18
A1_SU-35,A16_FA-18,16,A1_SU-35->A16_FA-18
A17_TU-95,A12_TU-22,14,A17_TU-95->A12_TU-22
A14_KC-135,A8_B-52,14,A14_KC-135->A8_B-52
A18_KC-10,A14_KC-135,14,A18_KC-10->A14_KC-135
A6_TU-160,A19_SU-34,14,A6_TU-160->A19_SU-34
A4_C-5,A8_B-52,14,A4_C-5->A8_B-52
A2_C-130,A9_P-3C,12,A2_C-130->A9_P-3C
A4_C-5,A14_KC-135,12,A4_C-5->A14_KC-135
A20_SU-24,A15_F-22,12,A20_SU-24->A15_F-22
A12_TU-22,A15_F-22,12,A12_TU-22->A15_F-22
A16_FA-18,A13_F-15,12,A16_FA-18->A13_F-15
A12_TU-22,A17_TU-95,12,A12_TU-22->A17_TU-95
A20_SU-24,A16_FA-18,12,A20_SU-24->A16_FA-18
A1_SU-35,A13_F-15,12,A1_SU-35->A13_F-15
LQS,MS,10,LQS->MS
A20_SU-24,A1_SU-35,10,A20_SU-24->A1_SU-35
A6_TU-160,A9_P-3C,10,A6_TU-160->A9_P-3C
A8_B-52,A14_KC-135,10,A8_B-52->A14_KC-135
LQS,QHS,8,LQS->QHS
QHS,LQS,8,QHS->LQS
A9_P-3C,A2_C-130,8,A9_P-3C->A2_C-130
A16_FA-18,A19_SU-34,8,A16_FA-18->A19_SU-34
A15_F-22,A16_FA-18,8,A15_F-22->A16_FA-18
A17_TU-95,A3_C-17,8,A17_TU-95->A3_C-17
A7_E-3,A11_E-8,6,A7_E-3->A11_E-8
A7_E-3,A17_TU-95,6,A7_E-3->A17_TU-95
A13_F-15,A20_SU-24,6,A13_F-15->A20_SU-24
A16_FA-18,A5_F-16,6,A16_FA-18->A5_F-16
A16_FA-18,A10_B-1B,6,A16_FA-18->A10_B-1B
A1_SU-35,A12_TU-22,6,A1_SU-35->A12_TU-22
A17_TU-95,A7_E-3,6,A17_TU-95->A7_E-3
A14_KC-135,A7_E-3,6,A14_KC-135->A7_E-3
A5_F-16,A1_SU-35,6,A5_F-16->A1_SU-35
MS,LQS,4,MS->LQS
A14_KC-135,A18_KC-10,4,A14_KC-135->A18_KC-10
A19_SU-34,A20_SU-24,4,A19_SU-34->A20_SU-24
A10_B-1B,A16_FA-18,4,A10_B-1B->A16_FA-18
A7_E-3,A3_C-17,4,A7_E-3->A3_C-17
A17_TU-95,A8_B-52,4,A17_TU-95->A8_B-52
A20_SU-24,A13_F-15,4,A20_SU-24->A13_F-15
A1_SU-35,A5_F-16,4,A1_SU-35->A5_F-16
A11_E-8,A4_C-5,4,A11_E-8->A4_C-5
LQS,HM,4,LQS->HM
MS,FSC,2,MS->FSC
A5_F-16,A2_C-130,2,A5_F-16->A2_C-130
A7_E-3,A10_B-1B,2,A7_E-3->A10_B-1B
A7_E-3,A12_TU-22,2,A7_E-3->A12_TU-22
A7_E-3,A6_TU-160,2,A7_E-3->A6_TU-160
A16_FA-18,A20_SU-24,2,A16_FA-18->A20_SU-24
A2_C-130,A4_C-5,2,A2_C-130->A4_C-5
A15_F-22,A20_SU-24,2,A15_F-22->A20_SU-24
A19_SU-34,A5_F-16,2,A19_SU-34->A5_F-16
A11_E-8,A8_B-52,2,A11_E-8->A8_B-52
A7_E-3,A14_KC-135,2,A7_E-3->A14_KC-135
