gt_uid,image_id,fold,source_group,coarse,class_name,category_id,gt_bbox_xyxy,gt_short_edge,size_bin,m3_proposal_uid,m3_score,m3_bbox_xyxy,iou
i4467-gt,4467,1,site_N22.33-E120.62,vehicle,vehicle,24,"[595.0, 173.0, 633.0, 227.0]",38.0,small,m3-f1-i4467-p482409,0.812,"[598.19, 175.31, 628.76, 225.47]",0.7471
i4426-gt,4426,0,site_N24.15-E120.73,vehicle,vehicle,24,"[672.0, 236.0, 715.0, 283.0]",43.0,small,m3-f0-i4426-p446702,0.7778,"[671.7, 238.06, 716.09, 281.37]",0.895
i4431-gt,4431,0,site_N24.95-E121.51,vehicle,vehicle,24,"[0.0, 437.0, 45.0, 479.0]",42.0,small,m3-f0-i4431-p447604,0.7749,"[1.62, 437.04, 44.06, 478.78]",0.9373
i4445-gt,4445,2,site_N35.84-E139.41,vehicle,vehicle,24,"[460.0, 143.0, 490.0, 166.0]",23.0,tiny,m3-f2-i4445-p405303,0.3804,"[461.33, 143.18, 486.8, 164.97]",0.8044
i4421-gt,4421,2,site_N23.00-E120.33,vehicle,vehicle,24,"[110.0, 671.0, 148.0, 705.0]",34.0,small,m3-f2-i4421-p403502,0.3364,"[114.26, 668.82, 141.72, 705.79]",0.6796
i4458-gt,4458,1,site_N31.32-E31.05,vehicle,vehicle,24,"[463.0, 795.0, 509.0, 860.0]",46.0,small,m3-f1-i4458-p480605,0.3152,"[459.89, 794.5, 508.67, 854.32]",0.8469
i4466-gt,4466,1,site_N22.33-E120.62,vehicle,vehicle,24,"[448.0, 51.0, 501.0, 107.0]",53.0,small,m3-f1-i4466-p482164,0.1848,"[442.42, 46.27, 499.77, 102.27]",0.7528
i4478-gt,4478,0,site_N24.21-E120.59,vehicle,vehicle,24,"[409.0, 631.0, 439.0, 685.0]",30.0,tiny,m3-f0-i4478-p451811,0.1539,"[407.99, 632.51, 449.82, 694.64]",0.5955
i4462-gt,4462,0,site_N36.03-E128.13,vehicle,vehicle,24,"[360.0, 104.0, 408.0, 183.0]",48.0,small,m3-f0-i4462-p449102,0.1311,"[362.56, 97.56, 398.57, 167.21]",0.5657
i4481-gt,4481,2,site_N25.20-E121.42,vehicle,vehicle,24,"[234.0, 506.0, 267.0, 545.0]",33.0,small,m3-f2-i4481-p408004,0.1276,"[235.44, 505.3, 267.74, 539.72]",0.7975
i4451-gt,4451,1,site_N35.89-E126.62,vehicle,vehicle,24,"[688.0, 49.0, 737.0, 140.0]",49.0,small,m3-f1-i4451-p479704,0.1222,"[690.22, 51.83, 737.13, 133.62]",0.8562
i4464-gt,4464,0,site_N36.03-E128.13,vehicle,vehicle,24,"[845.0, 565.0, 890.0, 605.0]",40.0,small,m3-f0-i4464-p449728,0.1152,"[842.65, 545.86, 884.4, 633.64]",0.4053
i4477-gt,4477,0,site_N24.21-E120.59,vehicle,vehicle,24,"[-0.0, 210.0, 24.0, 255.0]",24.0,tiny,m3-f0-i4477-p451519,0.1065,"[0.0, 204.08, 23.99, 244.16]",0.6707
i4451-gt,4451,1,site_N35.89-E126.62,vehicle,vehicle,24,"[607.0, 293.0, 650.0, 359.0]",43.0,small,m3-f1-i4451-p479706,0.0789,"[607.56, 288.61, 650.16, 353.87]",0.8513
