gt_uid,annotation_uid,image_id,fold,source_group,coarse,class_name,category_id,gt_bbox_xyxy,gt_short_edge,size_bin,m3_proposal_uid,m3_score,m3_bbox_xyxy,iou
ann_573fa700b00e,ann_573fa700b00e,4467,1,site_N22.33-E120.62,vehicle,vehicle,24,"[595.0, 173.0, 633.0, 227.0]",38.0,small,m3-f1-i4467-p482409,0.812,"[598.19, 175.31, 628.76, 225.47]",0.7471
ann_c9f9393da6de,ann_c9f9393da6de,4426,0,site_N24.15-E120.73,vehicle,vehicle,24,"[672.0, 236.0, 715.0, 283.0]",43.0,small,m3-f0-i4426-p446702,0.7778,"[671.7, 238.06, 716.09, 281.37]",0.895
ann_2dd9e74b3690,ann_2dd9e74b3690,4431,0,site_N24.95-E121.51,vehicle,vehicle,24,"[0.0, 437.0, 45.0, 479.0]",42.0,small,m3-f0-i4431-p447604,0.7749,"[1.62, 437.04, 44.06, 478.78]",0.9373
ann_6cdf8cd9b2d2,ann_6cdf8cd9b2d2,4445,2,site_N35.84-E139.41,vehicle,vehicle,24,"[460.0, 143.0, 490.0, 166.0]",23.0,tiny,m3-f2-i4445-p405303,0.3804,"[461.33, 143.18, 486.8, 164.97]",0.8044
ann_faa9030d8438,ann_faa9030d8438,4421,2,site_N23.00-E120.33,vehicle,vehicle,24,"[110.0, 671.0, 148.0, 705.0]",34.0,small,m3-f2-i4421-p403502,0.3364,"[114.26, 668.82, 141.72, 705.79]",0.6796
ann_778302d05a3f,ann_778302d05a3f,4458,1,site_N31.32-E31.05,vehicle,vehicle,24,"[463.0, 795.0, 509.0, 860.0]",46.0,small,m3-f1-i4458-p480605,0.3152,"[459.89, 794.5, 508.67, 854.32]",0.8469
ann_7edc21259eee,ann_7edc21259eee,4466,1,site_N22.33-E120.62,vehicle,vehicle,24,"[448.0, 51.0, 501.0, 107.0]",53.0,small,m3-f1-i4466-p482164,0.1848,"[442.42, 46.27, 499.77, 102.27]",0.7528
ann_ba870ab8b6f4,ann_ba870ab8b6f4,4478,0,site_N24.21-E120.59,vehicle,vehicle,24,"[409.0, 631.0, 439.0, 685.0]",30.0,tiny,m3-f0-i4478-p451811,0.1539,"[407.99, 632.51, 449.82, 694.64]",0.5955
ann_955243385180,ann_955243385180,4462,0,site_N36.03-E128.13,vehicle,vehicle,24,"[360.0, 104.0, 408.0, 183.0]",48.0,small,m3-f0-i4462-p449102,0.1311,"[362.56, 97.56, 398.57, 167.21]",0.5657
ann_9e477b5ec144,ann_9e477b5ec144,4481,2,site_N25.20-E121.42,vehicle,vehicle,24,"[234.0, 506.0, 267.0, 545.0]",33.0,small,m3-f2-i4481-p408004,0.1276,"[235.44, 505.3, 267.74, 539.72]",0.7975
ann_30f55834a0e1,ann_30f55834a0e1,4451,1,site_N35.89-E126.62,vehicle,vehicle,24,"[688.0, 49.0, 737.0, 140.0]",49.0,small,m3-f1-i4451-p479704,0.1222,"[690.22, 51.83, 737.13, 133.62]",0.8562
ann_e15646c8038c,ann_e15646c8038c,4464,0,site_N36.03-E128.13,vehicle,vehicle,24,"[845.0, 565.0, 890.0, 605.0]",40.0,small,m3-f0-i4464-p449728,0.1152,"[842.65, 545.86, 884.4, 633.64]",0.4053
ann_77df154f4f63,ann_77df154f4f63,4477,0,site_N24.21-E120.59,vehicle,vehicle,24,"[-0.0, 210.0, 24.0, 255.0]",24.0,tiny,m3-f0-i4477-p451519,0.1065,"[0.0, 204.08, 23.99, 244.16]",0.6707
ann_4570c70c314c,ann_4570c70c314c,4451,1,site_N35.89-E126.62,vehicle,vehicle,24,"[607.0, 293.0, 650.0, 359.0]",43.0,small,m3-f1-i4451-p479706,0.0789,"[607.56, 288.61, 650.16, 353.87]",0.8513
ann_ded9bfdd6b9c,ann_ded9bfdd6b9c,4450,1,site_N35.89-E126.62,vehicle,vehicle,24,"[728.0, 770.0, 819.0, 818.0]",48.0,small,m3-f1-i4450-p479415,0.0748,"[722.6, 771.6, 818.12, 819.22]",0.8831
ann_791be30f51aa,ann_791be30f51aa,4419,2,site_N23.00-E120.33,vehicle,vehicle,24,"[342.0, 322.0, 369.0, 346.0]",24.0,tiny,m3-f2-i4419-p402952,0.0739,"[341.58, 320.41, 372.97, 345.8]",0.8008
ann_f4d111ffce01,ann_f4d111ffce01,4445,2,site_N35.84-E139.41,vehicle,vehicle,24,"[126.0, 220.0, 144.0, 232.0]",12.0,tiny,m3-f2-i4445-p405311,0.0667,"[127.81, 223.21, 144.78, 234.46]",0.538
ann_67fd78bbb3d6,ann_67fd78bbb3d6,4434,0,site_N25.02-E121.33,vehicle,vehicle,24,"[562.0, 266.0, 590.0, 332.0]",28.0,tiny,m3-f0-i4434-p448539,0.0644,"[563.5, 282.6, 585.23, 332.64]",0.5765
ann_b3f4fbd05837,ann_b3f4fbd05837,4434,0,site_N25.02-E121.33,vehicle,vehicle,24,"[543.0, 265.0, 570.0, 331.0]",27.0,tiny,m3-f0-i4434-p448545,0.0577,"[543.47, 284.56, 570.1, 332.43]",0.6751
ann_ecd5fbb43585,ann_ecd5fbb43585,4449,1,site_N35.89-E126.62,vehicle,vehicle,24,"[159.0, 761.0, 244.0, 804.0]",43.0,small,m3-f1-i4449-p479145,0.0559,"[159.44, 768.07, 235.63, 801.66]",0.7002
ann_dd162252eb9d,ann_dd162252eb9d,4469,1,site_N23.66-E119.55,vehicle,vehicle,24,"[378.0, 331.0, 413.0, 413.0]",35.0,small,m3-f1-i4469-p483028,0.0523,"[381.61, 332.56, 408.09, 407.92]",0.6953
ann_a69c66b4f0e9,ann_a69c66b4f0e9,4434,0,site_N25.02-E121.33,vehicle,vehicle,24,"[609.0, 325.0, 630.0, 364.0]",21.0,tiny,m3-f0-i4434-p448562,0.0497,"[610.3, 327.05, 633.35, 360.69]",0.7114
ann_a2095c6391c8,ann_a2095c6391c8,4477,0,site_N24.21-E120.59,vehicle,vehicle,24,"[539.0, 124.0, 592.0, 162.0]",38.0,small,m3-f0-i4477-p451540,0.0475,"[543.0, 123.27, 574.09, 168.31]",0.5291
ann_bd5d7705b3a9,ann_bd5d7705b3a9,4469,1,site_N23.66-E119.55,vehicle,vehicle,24,"[366.0, 610.0, 388.0, 642.0]",22.0,tiny,m3-f1-i4469-p483042,0.0452,"[366.13, 609.21, 386.65, 642.36]",0.9023
ann_b30edbdacca0,ann_b30edbdacca0,4434,0,site_N25.02-E121.33,vehicle,vehicle,24,"[523.0, 258.0, 551.0, 324.0]",28.0,tiny,m3-f0-i4434-p448618,0.0375,"[525.17, 273.33, 554.12, 318.62]",0.588
ann_a646efd4c301,ann_a646efd4c301,4450,1,site_N35.89-E126.62,vehicle,vehicle,24,"[326.0, 44.0, 375.0, 134.0]",49.0,small,m3-f1-i4450-p479447,0.0359,"[326.23, 42.19, 380.42, 135.9]",0.861
ann_287d6c8eb184,ann_287d6c8eb184,4451,1,site_N35.89-E126.62,vehicle,vehicle,24,"[438.0, 88.0, 490.0, 185.0]",52.0,small,m3-f1-i4451-p479725,0.0351,"[446.17, 87.7, 491.62, 179.27]",0.7684
ann_e17add10ca72,ann_e17add10ca72,4463,0,site_N36.03-E128.13,vehicle,vehicle,24,"[368.0, 201.0, 405.0, 267.0]",37.0,small,m3-f0-i4463-p449415,0.0324,"[368.67, 200.91, 403.88, 262.27]",0.8824
ann_179ad55c0173,ann_179ad55c0173,4451,1,site_N35.89-E126.62,vehicle,vehicle,24,"[767.0, 480.0, 810.0, 546.0]",43.0,small,m3-f1-i4451-p479734,0.0321,"[766.65, 473.73, 818.01, 541.41]",0.7188
ann_eb9b4fb5be25,ann_eb9b4fb5be25,4451,1,site_N35.89-E126.62,vehicle,vehicle,24,"[479.0, 292.0, 528.0, 382.0]",49.0,small,m3-f1-i4451-p479736,0.0316,"[482.23, 297.89, 521.48, 382.38]",0.746
ann_c052edf4bbad,ann_c052edf4bbad,4469,1,site_N23.66-E119.55,vehicle,vehicle,24,"[452.0, 105.0, 479.0, 141.0]",27.0,tiny,m3-f1-i4469-p483096,0.0313,"[452.37, 104.81, 476.63, 137.77]",0.8142
ann_43cb5b0a23f3,ann_43cb5b0a23f3,4450,1,site_N35.89-E126.62,vehicle,vehicle,24,"[614.0, 232.0, 657.0, 298.0]",43.0,small,m3-f1-i4450-p479471,0.0307,"[610.13, 224.84, 662.53, 296.36]",0.7247
ann_f35cf0bebac2,ann_f35cf0bebac2,4434,0,site_N25.02-E121.33,vehicle,vehicle,24,"[579.0, 270.0, 607.0, 336.0]",28.0,tiny,m3-f0-i4434-p448678,0.0295,"[573.76, 282.58, 604.85, 337.05]",0.6392
ann_f3a930817d0a,ann_f3a930817d0a,4450,1,site_N35.89-E126.62,vehicle,vehicle,24,"[733.0, 813.0, 776.0, 879.0]",43.0,small,m3-f1-i4450-p479491,0.0266,"[730.43, 816.31, 777.78, 877.34]",0.8456
ann_edf96fb9ac6f,ann_edf96fb9ac6f,4469,1,site_N23.66-E119.55,vehicle,vehicle,24,"[184.0, 839.0, 239.0, 856.0]",17.0,tiny,m3-f1-i4469-p483133,0.0266,"[188.42, 838.94, 231.26, 855.59]",0.7582
ann_38434e293be1,ann_38434e293be1,4450,1,site_N35.89-E126.62,vehicle,vehicle,24,"[790.0, 799.0, 833.0, 865.0]",43.0,small,m3-f1-i4450-p479497,0.026,"[789.01, 800.05, 828.18, 860.2]",0.7925
ann_e422a772dd72,ann_e422a772dd72,4434,0,site_N25.02-E121.33,vehicle,vehicle,24,"[506.0, 252.0, 535.0, 318.0]",29.0,tiny,m3-f0-i4434-p448691,0.0259,"[511.3, 269.98, 546.9, 314.94]",0.435
ann_e0c3edb586b9,ann_e0c3edb586b9,4468,1,site_N22.33-E120.62,vehicle,vehicle,24,"[546.0, 667.0, 579.0, 703.0]",33.0,small,m3-f1-i4468-p482915,0.0251,"[544.83, 664.21, 587.21, 731.5]",0.4166
ann_e92c6fbc2a87,ann_e92c6fbc2a87,4445,2,site_N35.84-E139.41,vehicle,vehicle,24,"[75.0, 228.0, 101.0, 243.0]",15.0,tiny,m3-f2-i4445-p405330,0.025,"[77.24, 234.39, 98.65, 246.63]",0.3943
ann_e0eed6cc74bb,ann_e0eed6cc74bb,4466,1,site_N22.33-E120.62,vehicle,vehicle,24,"[24.0, 355.0, 81.0, 405.0]",50.0,small,m3-f1-i4466-p482374,0.024,"[28.36, 359.34, 78.04, 411.47]",0.7155
ann_39a30e24cf99,ann_39a30e24cf99,4450,1,site_N35.89-E126.62,vehicle,vehicle,24,"[291.0, 285.0, 334.0, 352.0]",43.0,small,m3-f1-i4450-p479507,0.024,"[290.27, 288.89, 333.75, 352.72]",0.9122
ann_f99c32986cb8,ann_f99c32986cb8,4462,0,site_N36.03-E128.13,vehicle,vehicle,24,"[715.0, 125.0, 752.0, 191.0]",37.0,small,m3-f0-i4462-p449133,0.0237,"[715.51, 127.74, 749.62, 189.98]",0.8694
ann_f37b9b53d284,ann_f37b9b53d284,4435,0,site_N25.02-E121.33,vehicle,vehicle,24,"[289.0, 204.0, 319.0, 224.0]",20.0,tiny,m3-f0-i4435-p449038,0.0224,"[284.89, 201.89, 318.92, 224.38]",0.78
ann_8ebec2367e58,ann_8ebec2367e58,4477,0,site_N24.21-E120.59,vehicle,vehicle,24,"[545.0, 546.0, 595.0, 591.0]",45.0,small,m3-f0-i4477-p451642,0.0219,"[543.71, 551.84, 593.59, 591.61]",0.8163
ann_599cb9eee9e6,ann_599cb9eee9e6,4447,2,site_N35.84-E139.41,vehicle,vehicle,24,"[168.0, 97.0, 208.0, 180.0]",40.0,small,m3-f2-i4447-p406046,0.0205,"[169.65, 113.49, 195.54, 184.24]",0.502
ann_05e65e20fde2,ann_05e65e20fde2,4451,1,site_N35.89-E126.62,vehicle,vehicle,24,"[642.0, 472.0, 690.0, 566.0]",48.0,small,m3-f1-i4451-p479793,0.0199,"[645.25, 472.22, 693.32, 560.49]",0.822
ann_7b0388f750a0,ann_7b0388f750a0,4460,1,site_N26.20-E127.66,vehicle,vehicle,24,"[342.0, 382.0, 363.0, 408.0]",21.0,tiny,m3-f1-i4460-p481359,0.017,"[340.41, 374.32, 364.91, 409.67]",0.6305
ann_fe095898185b,ann_fe095898185b,4460,1,site_N26.20-E127.66,vehicle,vehicle,24,"[303.0, 367.0, 337.0, 414.0]",34.0,small,m3-f1-i4460-p481361,0.0167,"[285.36, 356.85, 340.43, 410.44]",0.4807
ann_9e1e20222507,ann_9e1e20222507,4451,1,site_N35.89-E126.62,vehicle,vehicle,24,"[730.0, 276.0, 773.0, 342.0]",43.0,small,m3-f1-i4451-p479821,0.0153,"[723.61, 251.34, 774.04, 334.89]",0.5604
ann_10a15dbccf57,ann_10a15dbccf57,4481,2,site_N25.20-E121.42,vehicle,vehicle,24,"[69.0, 779.0, 113.0, 807.0]",28.0,tiny,m3-f2-i4481-p408028,0.0146,"[59.52, 762.96, 115.82, 805.01]",0.4661
ann_735200e7c9f3,ann_735200e7c9f3,4445,2,site_N35.84-E139.41,vehicle,vehicle,24,"[331.0, 527.0, 356.0, 567.0]",25.0,tiny,m3-f2-i4445-p405377,0.0145,"[330.57, 526.89, 356.24, 568.19]",0.9432
ann_c10e75b3ec9e,ann_c10e75b3ec9e,4450,1,site_N35.89-E126.62,vehicle,vehicle,24,"[489.0, 224.0, 537.0, 318.0]",48.0,small,m3-f1-i4450-p479612,0.0141,"[485.76, 222.72, 543.44, 312.53]",0.7808
ann_874c78cbbf48,ann_874c78cbbf48,4450,1,site_N35.89-E126.62,vehicle,vehicle,24,"[454.0, 45.0, 497.0, 111.0]",43.0,small,m3-f1-i4450-p479630,0.0134,"[452.09, 34.8, 497.13, 95.5]",0.6385
ann_13b57d8f16fa,ann_13b57d8f16fa,4451,1,site_N35.89-E126.62,vehicle,vehicle,24,"[568.0, 99.0, 610.0, 172.0]",42.0,small,m3-f1-i4451-p479846,0.0127,"[562.9, 73.94, 611.32, 144.36]",0.4168
ann_4b37817559ce,ann_4b37817559ce,4445,2,site_N35.84-E139.41,vehicle,vehicle,24,"[401.0, 492.0, 426.0, 532.0]",25.0,tiny,m3-f2-i4445-p405409,0.012,"[400.23, 490.25, 425.33, 531.91]",0.9036
ann_c10946890335,ann_c10946890335,4463,0,site_N36.03-E128.13,vehicle,vehicle,24,"[13.0, 180.0, 61.0, 259.0]",48.0,small,m3-f0-i4463-p449573,0.0095,"[9.98, 175.62, 46.6, 245.38]",0.5293
ann_c5def6d50ec2,ann_c5def6d50ec2,651,0,scene_L00000000225,ship,ship,3,"[110.0, 387.0, 210.0, 651.0]",100.0,medium,m3-f0-i651-p061800,0.9321,"[112.8, 385.28, 200.46, 652.77]",0.8665
ann_4253ff511bdd,ann_4253ff511bdd,4398,2,scene_L1A0001690055,ship,ship,2,"[82.0, 62.0, 378.0, 261.0]",199.0,medium,m3-f2-i4398-p399600,0.9243,"[82.08, 73.58, 340.23, 264.74]",0.8081
ann_6c0c09806808,ann_6c0c09806808,4393,2,scene_L1A0001690055,ship,ship,2,"[384.0, 457.0, 573.0, 692.0]",189.0,medium,m3-f2-i4393-p398101,0.8994,"[377.44, 460.94, 582.71, 689.06]",0.8959
ann_f7072b69110e,ann_f7072b69110e,8,0,scene_L00000010882,ship,ship,2,"[350.0, 25.0, 464.0, 171.0]",114.0,medium,m3-f0-i8-p001802,0.8921,"[352.04, 24.46, 467.47, 168.9]",0.9364
ann_1a5f21824c55,ann_1a5f21824c55,43,1,scene_L00000010815,ship,ship,3,"[220.0, 135.0, 497.0, 349.0]",214.0,medium,m3-f1-i43-p003900,0.8901,"[220.72, 138.8, 521.28, 386.64]",0.7672
ann_a22a53b9c02e,ann_a22a53b9c02e,850,0,scene_L00000000683,ship,ship,3,"[441.0, 263.0, 558.0, 430.0]",117.0,medium,m3-f0-i850-p092100,0.8853,"[444.11, 266.58, 556.64, 424.34]",0.9086
ann_3c3bc4e78aa3,ann_3c3bc4e78aa3,439,2,scene_L00000101101,ship,ship,2,"[517.0, 5.0, 656.0, 170.0]",139.0,medium,m3-f2-i439-p052803,0.8726,"[514.02, 2.82, 655.15, 166.44]",0.9401
ann_ff005a7571b8,ann_ff005a7571b8,441,2,scene_L00000101101,ship,ship,2,"[618.0, 608.0, 757.0, 773.0]",139.0,medium,m3-f2-i441-p053401,0.8628,"[614.15, 608.94, 756.79, 771.6]",0.9581
ann_867647b5af5e,ann_867647b5af5e,1146,2,scene_L1A0003117760,ship,ship,2,"[785.0, 654.0, 868.0, 865.0]",83.0,small,m3-f2-i1146-p110103,0.856,"[788.43, 654.66, 867.89, 866.89]",0.9464
ann_a8082992c89b,ann_a8082992c89b,1286,0,scene_L1A0003910727,ship,ship,2,"[534.0, 417.0, 655.0, 663.0]",121.0,medium,m3-f0-i1286-p125400,0.8525,"[532.29, 415.56, 655.14, 654.94]",0.9476
ann_ee1619213f96,ann_ee1619213f96,158,0,scene_L00000012443,ship,ship,2,"[497.0, 333.0, 630.0, 441.0]",108.0,medium,m3-f0-i158-p024300,0.8467,"[502.1, 335.13, 622.47, 435.4]",0.8403
ann_cefd69489515,ann_cefd69489515,37,1,scene_L00000010574,ship,ship,3,"[174.0, 196.0, 456.0, 419.0]",223.0,medium,m3-f1-i37-p002400,0.8247,"[170.35, 208.18, 475.5, 452.3]",0.7629
ann_ecc6a9eb11c8,ann_ecc6a9eb11c8,1288,0,scene_L1A0003910727,ship,ship,2,"[28.0, 45.0, 169.0, 291.0]",141.0,medium,m3-f0-i1288-p126001,0.8232,"[32.75, 47.73, 161.54, 287.83]",0.8914
ann_c357ec96be7d,ann_c357ec96be7d,1251,2,scene_L1A0002115142,ship,ship,2,"[796.0, 113.0, 850.0, 249.0]",54.0,small,m3-f2-i1251-p124204,0.8174,"[794.15, 130.32, 850.0, 250.06]",0.8407
ann_3d7605efb6b4,ann_3d7605efb6b4,1287,0,scene_L1A0003910727,ship,ship,2,"[194.0, 507.0, 335.0, 753.0]",141.0,medium,m3-f0-i1287-p125700,0.8135,"[199.86, 509.91, 325.02, 753.38]",0.8759
ann_7b6d35c9edcd,ann_7b6d35c9edcd,1281,0,scene_L1A0003883169,ship,ship,2,"[305.0, 155.0, 445.0, 385.0]",140.0,medium,m3-f0-i1281-p123900,0.8101,"[291.19, 151.32, 456.85, 382.58]",0.8244
ann_d9caf57e1857,ann_d9caf57e1857,109,0,scene_L00000012466,ship,ship,2,"[83.0, 606.0, 219.0, 732.0]",126.0,medium,m3-f0-i109-p011404,0.8018,"[83.54, 606.74, 222.44, 736.33]",0.9339
ann_a23bed094bb1,ann_a23bed094bb1,927,0,scene_L00000001337,ship,ship,3,"[0.0, 348.0, 211.0, 530.0]",182.0,medium,m3-f0-i927-p097802,0.7246,"[0.21, 331.26, 219.69, 530.76]",0.8754
ann_a0b4c9f2aed6,ann_a0b4c9f2aed6,6,0,scene_L00000010882,ship,ship,1,"[369.0, 224.0, 596.0, 487.0]",227.0,medium,m3-f0-i6-p001203,0.7061,"[371.11, 220.82, 591.73, 492.88]",0.9404
ann_ee966f5d4e78,ann_ee966f5d4e78,4413,0,scene_L1A0000704021,ship,ship,2,"[655.0, 207.0, 719.0, 550.0]",64.0,small,m3-f0-i4413-p444903,0.6738,"[657.03, 192.95, 718.63, 557.56]",0.9075
ann_652a9dd4faca,ann_652a9dd4faca,4413,0,scene_L1A0000704021,ship,ship,2,"[702.0, 189.0, 794.0, 555.0]",92.0,small,m3-f0-i4413-p444904,0.6362,"[701.74, 188.55, 777.17, 560.32]",0.8043
ann_da85e97d4a52,ann_da85e97d4a52,192,0,scene_L00000012443,ship,ship,3,"[696.0, 198.0, 761.0, 394.0]",65.0,small,m3-f0-i192-p034500,0.561,"[700.94, 207.56, 771.28, 404.13]",0.7286
ann_8dd0885344ac,ann_8dd0885344ac,1289,0,scene_L1A0004005129,ship,ship,2,"[335.0, 576.0, 675.0, 746.0]",170.0,medium,m3-f0-i1289-p126301,0.5562,"[327.17, 570.21, 678.54, 743.62]",0.9231
ann_bfb1a006d17e,ann_bfb1a006d17e,713,1,scene_L00000000227,ship,ship,2,"[4.0, 170.0, 248.0, 416.0]",244.0,medium,m3-f1-i713-p057901,0.5547,"[3.3, 140.9, 240.96, 428.07]",0.833
ann_0c07a1a3f4ec,ann_0c07a1a3f4ec,1191,1,scene_L1A0002233573,ship,ship,2,"[243.0, 425.0, 326.0, 471.0]",46.0,small,m3-f1-i1191-p130204,0.5215,"[239.66, 426.54, 316.19, 473.02]",0.7897
ann_c132224e1a20,ann_c132224e1a20,4395,2,scene_L1A0001690055,ship,ship,2,"[1158.0, 347.0, 1216.0, 414.0]",58.0,small,m3-f2-i4395-p398716,0.5093,"[1168.11, 344.78, 1216.0, 424.12]",0.7167
ann_2490efaf3e17,ann_2490efaf3e17,742,0,scene_L00000000285,ship,ship,2,"[344.0, 463.0, 497.0, 594.0]",131.0,medium,m3-f0-i742-p070802,0.5078,"[345.62, 464.93, 490.38, 597.89]",0.9068
